Apellido,Nombre,DNI,Email,Rol Solicitante,Escuela
(falta),(falta),"31,234,567",secundaria2mhemoso@abc.gob.ar,Solicitante,EES N2
Alonso,Laura,"26,789,123",cens135mhermoso@abc.gob.ar,Solicitante,CENS N451
Banegas,Natalia,"29,901,234",jardin901mhermoso@abc.gob.ar,Solicitante,JI N901
Batalle,Melina,"30,123,456",esteticamhermoso@abc.gob.ar,Solicitante,EE Artistica N1
Bello,Julio,"22,456,789",jd126mhermoso@abc.gob.ar,Solicitante,Jefatura Distrital
Bravo,Virginia,"23,890,123",primaria3mhermoso@abc.gob.ar,Solicitante,EP N3
Crededio,Mariel,"29,234,567",especial501mhermoso@abc.gob.ar,Solicitante,EEE N501
Di Santo,Veronica,"25,678,912",cec801mhermoso@abc.gob.ar,Solicitante,CEC N801
Diaz,Fabiana,"27,891,234",cea701mhermoso@abc.gob.ar,Solicitante,CEAN N701
Echeverria,Mirta,"22,345,678",cfp401ghermoso@abc.gob.ar,Solicitante,CFL N401
Esmoris,Daniela,"28,012,345",jardin902mhermoso@abc.gob.ar,Solicitante,JI N902
Femenias,Leticia,"28,345,671",ceatmhermoso@abc.gob.ar,Solicitante,EET N1
Garcia,Ana Marcela,"28,456,789",eesa1mh@gmail.com,Solicitante,EESA
Gomez,Karina,"25,789,123",primaria2mhermoso@abc.gob.ar,Solicitante,EP N2
Hoyos,Valeria,"25,345,678",jardinrural1mhermoso@abc.gob.ar,Solicitante,JIRM
Lundqvist,Gabriela,"26,234,567",maternal1mhermoso@abc.gob.ar,Solicitante,JM N1
Maccari,Antonela,"24,345,678",ce126mhermoso@abc.gob.ar,Solicitante,SAD
Menendez,Monica,"24,678,912",primaria1mhermoso@abc.gob.ar,Solicitante,EP N1
Minnard,Jose,"23,456,789",cie126mhermoso@abc.gob.ar,Solicitante,CIIE
Rasmussen,Juan Pablo,"24,567,891",cef135mhermoso@abc.gob.ar,Solicitante,CEF N135
Romero,Rosalia,"27,123,456",jardin903mhermoso@abc.gob.ar,Solicitante,JI N903
Solari,Rosana,"27,345,678",secundaria1mhermoso@abc.gob.ar,Solicitante,EES N1
Sotelo,Flavia,"26,567,891",eest1mhermosos@abc.gob.ar,Solicitante,EEST N1
